Year-Month,Volume
1980-01,1158240000
1980-02,956530000
1980-03,876450000
1980-04,674140000
1980-05,764920000
1980-06,829660000
1980-07,1021770000
1980-08,965660000
1980-09,1057710000
1980-10,1031790000
1980-11,988110000
1980-12,1025650000
1981-01,955520000
1981-02,816310000
1981-03,1174530000
1981-04,1123470000
1981-05,905430000
1981-06,1100970000
1981-07,953970000
1981-08,920550000
1981-09,959140000
1981-10,997560000
1981-11,987920000
1981-12,959470000
1982-01,968340000
1982-02,972190000
1982-03,1268690000
1982-04,1136490000
1982-05,1026460000
1982-06,1110530000
1982-07,1145190000
1982-08,1672770000
1982-09,1548040000
1982-10,2068560000
1982-11,1857040000
1982-12,1682080000
1983-01,1857600000
1983-02,1615450000
1983-03,1901920000
1983-04,1786870000
1983-05,1953130000
1983-06,1973860000
1983-07,1590170000
1983-08,1706430000
1983-09,1739810000
1983-10,1794620000
1983-11,1814610000
1983-12,1848860000
1984-01,2215660000
1984-02,1932810000
1984-03,1854920000
1984-04,1717530000
1984-05,1939550000
1984-06,1812870000
1984-07,1662200000
1984-08,2526920000
1984-09,1768660000
1984-10,2110230000
1984-11,1757280000
1984-12,1781000000
1985-01,2673710000
1985-02,2194620000
1985-03,2153090000
1985-04,1981880000
1985-05,2350340000
1985-06,2117000000
1985-07,2463070000
1985-08,1923200000
1985-09,1860160000
1985-10,2543240000
1985-11,2445370000
1985-12,2804380000
1986-01,2879010000
1986-02,2899100000
1986-03,3214600000
1986-04,3240400000
1986-05,2680240000
1986-06,2649600000
1986-07,3029900000
1986-08,2701900000
1986-09,3166300000
1986-10,3016740000
1986-11,2940830000
1986-12,3260870000
1987-01,4040880000
1987-02,3485300000
1987-03,3965100000
1987-04,3931700000
1987-05,3417700000
1987-06,3595000000
1987-07,3966400000
1987-08,4062400000
1987-09,3723200000
1987-10,6094500000
1987-11,3589530000
1987-12,3926750000
1988-01,3494700000
1988-02,3693240000
1988-03,4052970000
1988-04,3260760000
1988-05,3231370000
1988-06,4306710000
1988-07,3338470000
1988-08,3327470000
1988-09,3059450000
1988-10,3415160000
1988-11,2822820000
1988-12,2844900000
1989-01,3532220000
1989-02,3216280000
1989-03,3504530000
1989-04,3237250000
1989-05,3747320000
1989-06,3966590000
1989-07,3249030000
1989-08,3949100000
1989-09,3035020000
1989-10,4012670000
1989-11,3032160000
1989-12,3213420000
